valid_time,pressure_level,latitude,longitude,surface_wind,low-level_wind,jet_stream,atmos_stability1,atmos_stability2,thermal_wind_y_grad,thermal_wind_x_grad
1987-09-05,0,43.7,-79.65,4.716395,9.658469,4.129353,0.0029756910903859296,0.0048688954590820855,-1.183228736823835,0.5518790933367871
1987-09-06,0,43.7,-79.65,4.1474423,9.441891,7.1106305,0.0035190971333908133,0.004842584360886938,-2.7257578589676887,-0.6362712350442603
1987-09-07,0,43.7,-79.65,4.4081383,4.906766,13.189397,0.002365318494706121,0.0046815994103311005,0.783334213720478,0.8131047816079389
1987-09-08,0,43.7,-79.65,2.3695242,6.1918902,7.9723754,0.003945404494274852,0.004662010455346773,2.2651003278904867,0.713643195764083
1987-09-09,0,43.7,-79.65,3.6578207,9.278478,11.196859,0.002104404429637687,0.00474125625058355,2.8666495459533357,0.16326650097616685
1987-09-10,0,43.7,-79.65,2.5423648,7.1789107,11.311684,0.002528872252927793,0.004715833517049075,-0.20332237971633924,0.5137099890683711
1987-09-11,0,43.7,-79.65,2.7124927,12.308963,13.708762,0.004432550152436386,0.0042372051783860516,-0.18588597845515537,-0.31552882669981025
1987-09-12,0,43.7,-79.65,1.939415,10.141426,13.464954,0.005202902449999698,0.004191385472027399,0.4630020618166324,0.7512397433545839
1987-09-13,0,43.7,-79.65,3.717293,7.5820436,14.615476,0.0023541176189866785,0.004014515126744921,2.345903977902491,3.450239132555889
1987-09-14,0,43.7,-79.65,4.121408,15.953217,24.026604,0.001963319323241534,0.0035258537902649978,2.7670962008220794,1.3849974196637236
1987-09-15,0,43.7,-79.65,3.139821,6.585895,17.577274,0.0007038652129550888,0.0047493069870666385,2.3123379125563432,1.5521376499654063
1987-09-16,0,43.7,-79.65,3.7385466,7.8678284,11.719013,0.002968340108525641,0.004431672345051492,3.600989017817875,0.7704043418600982
1987-09-17,0,43.7,-79.65,3.0584223,8.243496,9.650103,0.004154547580649101,0.004589005516202467,4.355686235285233,0.5578784710513857
